Citizen_ID,Age,Gender,Mode_of_Transport,Work_Hours,Shopping_Hours,Entertainment_Hours,Home_Energy_Consumption_kWh,Charging_Station_Usage,Carbon_Footprint_kgCO2,Steps_Walked,Calories_Burned,Sleep_Hours,Social_Media_Hours,Public_Events_Hours
1051,31,Female,Walking,3,0,1,3.06,1,58.43,15312,1014,4.2,1.9,2.8
1052,67,Male,EV,1,4,1,3.27,1,16.35,19972,1391,7.4,4.3,0.5
1053,26,Female,Public Transport,4,3,0,9.59,1,94.06,15318,1107,5.3,4.8,1.2
1054,43,Male,Bike,2,0,1,9.04,0,78.97,19166,1332,6,4.8,2.5
1055,19,Male,Public Transport,7,0,1,9.26,0,69.22,12324,923,8.7,5.9,2
1056,37,Male,Car,3,4,1,9.93,0,84.15,4218,424,5.2,4.7,1.2
1057,45,Female,Bicycle,0,2,2,3.67,0,68.28,5016,544,7.8,4.6,2.2
1058,64,Male,Bike,0,1,2,4.84,1,97.2,3837,633,7.9,5.1,2.7
1059,24,Male,Public Transport,9,2,0,7.35,0,74.26,17312,1134,9.7,0,2.8
1060,61,Female,Bike,2,4,0,5.87,0,93.22,8034,879,8.7,2.2,1.1
1061,25,Male,Bike,8,1,1,5.35,0,56.54,8309,596,8.8,4.4,0.5
1062,64,Female,Bike,6,2,2,4.86,0,20.54,15379,1021,7.2,3.6,2.7
1063,52,Male,Bicycle,1,1,3,6.75,1,57.54,5239,501,5.1,1.1,0.3
1064,31,Female,Walking,8,0,3,6.6,0,21.42,13128,1069,6.6,1.8,2.2
1065,34,Female,Bike,9,2,1,3.29,1,63.32,16856,1087,7.3,2,0.4
1066,53,Male,EV,1,1,1,5.77,0,53.42,10611,952,8.1,3.4,1.2
1067,67,Male,Car,2,1,2,6.43,0,66.03,5150,478,7.6,5,1.2
1068,57,Male,Bicycle,9,1,2,6.56,1,10.9,12109,956,6.4,5.6,0.5
1069,21,Male,Public Transport,1,2,2,3.68,0,27.54,2446,564,5.6,4.5,2.8
1070,19,Other,Bicycle,2,3,0,7.94,1,54.22,12936,1132,5,5.1,0
1071,23,Male,Public Transport,5,2,0,2.2,0,95.55,12036,1011,8.2,2.8,2.7
1072,59,Female,Bicycle,8,4,1,4.84,0,44.52,7468,561,17.9,2.3,2.7
1073,21,Male,Public Transport,8,2,0,8.24,0,48.19,15021,908,8.1,2.4,1
1074,46,Female,Bike,6,1,2,6.51,1,74.32,5175,420,6.2,3.7,2.1
1075,35,Female,Walking,2,0,2,4.09,0,64.34,16390,1265,5.6,0.7,0.8
1076,43,Female,Public Transport,3,2,0,7.56,1,36.9,6080,711,8.6,3.5,2.3
1077,61,Male,Public Transport,5,2,3,6.54,0,46.97,16471,1304,8.6,4,1.7
1078,51,Male,EV,4,1,1,8.37,0,29.59,15893,1173,6.7,2.6,0.9
1079,27,Male,,1,0,3,7.88,0,96.94,18248,1083,7.7,5.7,1.2
1080,53,Female,EV,5,0,1,6.88,0,21.76,17009,958,6.2,3.6,2.1
1081,31,Female,Car,2,4,3,5.91,0,43.47,7217,825,8.2,1.3,2.7
1082,48,Other,Bike,7,2,0,3.07,1,12.33,6672,526,9,2.9,0.4
1083,65,Male,EV,1,0,1,4.09,0,29.96,2502,597,8.1,4.1,1.7
1084,32,Female,Walking,0,0,1,5.35,0,80.24,2410,558,7.1,1.9,0.8
1085,25,Female,Bike,8,3,1,6.79,0,28.11,4770,673,6.8,0.5,2.4
1086,31,Male,EV,2,3,2,6.11,0,17.21,11097,805,7.9,3.5,0.2
1087,40,Male,Bike,0,0,2,4.31,0,52.7,5001,705,8.1,5.7,2.1
1088,57,Female,Bike,6,4,3,2.05,0,10.9,1598,218,7.4,2.9,0.5
1089,38,Female,Bike,9,0,0,5.97,0,17.63,11976,1056,7.7,5.4,1.8
1090,33,Female,Car,4,1,2,4.29,0,82.69,7391,530,4.6,5,2.5
1091,62,Male,Walking,4,2,1,7.88,0,79.43,17450,1225,9.7,0.9,2.3
1092,35,Female,Bicycle,0,4,2,2.19,0,92.36,15908,963,8.7,4.2,2.3
1093,64,Male,Bicycle,8,1,0,6.68,0,86.91,12590,1126,6.2,2.6,1.6
1094,41,Male,EV,6,4,2,9.53,0,71.49,17279,1207,7.4,1.5,2.7
1095,43,Male,Bike,7,1,1,3.4,0,14.71,3750,651,4.3,4.1,1.8
1096,42,Female,EV,8,2,3,5.77,1,80.46,10916,814,4.2,4.5,2.8
1097,62,Female,Car,5,2,1,2.73,1,86.1,7806,667,5.5,1.1,1.6
1098,58,Female,Car,4,3,0,7.01,1,81.92,7429,659,8.1,5.5,1.5
1099,46,Male,Public Transport,5,1,3,6.4,0,55.76,9123,815,9.1,4.5,0.7
1100,32,Female,Car,1,3,2,5.26,1,30.96,19015,1121,7.4,5.6,1.6
1101,62,Male,Public Transport,3,1,2,6.17,1,86.08,7452,488,7.2,1.9,0.4
1102,18,Female,Walking,2,3,2,9.17,1,75.44,18158,1376,6.4,5.6,2.6
1103,42,Male,EV,6,2,3,3.57,0,98.27,16456,1262,5,2.2,2
1104,24,Male,Walking,8,4,1,2.18,0,24.01,5019,406,4.7,0.3,3
1105,26,Male,Car,4,3,3,8.89,1,30.31,13419,987,8.6,4.6,0.3
1106,41,Male,Walking,5,1,3,6.62,0,29.06,1929,302,9.6,4.2,0.7
1107,18,Female,Walking,9,1,0,9.13,0,81.33,7264,766,6.7,3.6,2.6
1108,61,Female,Walking,1,2,3,6.78,0,26.82,8973,720,8,2.9,1.2
1109,25,Male,Car,2,1,2,8.48,0,16,10697,852,9.5,0.2,1.4
1110,41,Female,Bike,2,0,1,5.44,0,99.87,12136,952,4.5,3.7,2.6
1111,28,Male,Walking,8,4,1,8,0,12.23,2184,426,8.6,2.5,1.6
1112,68,Female,Public Transport,6,3,1,9.3,0,85.17,17911,1367,7.7,3.4,0.6
1113,34,Female,Car,7,4,2,6.58,0,42.88,1916,225,7.6,2.6,2.7
1114,25,Female,Walking,9,2,2,3.45,0,85.75,4574,695,5.8,5.8,0.1
1115,52,Male,Bike,8,3,2,4.15,0,59.92,4319,361,8.1,3.6,2.7
1116,52,Female,Car,5,3,2,3.59,0,91.15,18790,1172,8.8,4.5,0.2
1117,50,Female,Bicycle,3,0,2,3.97,0,93.36,18625,1138,4.7,5.6,2
1118,22,Male,Bike,0,2,3,4.45,1,10.82,6206,481,7.2,3.5,0.2
1119,59,Male,Public Transport,7,1,2,6.44,0,16.79,18182,1335,4.6,0.1,2.1
1120,56,Female,Walking,6,0,2,6.7,0,32.53,18907,1152,9.2,0.2,0.1
1121,58,Female,Bicycle,1,0,2,5.41,0,70.24,5928,704,7,4.2,2.5
1122,45,Female,Bicycle,7,4,2,6.92,1,89.94,17105,1352,8.8,1.7,1.4
1123,24,Female,Car,4,4,1,2.65,0,51.39,3888,565,6.2,3.5,0.3
1124,26,Female,Bicycle,6,4,2,2.7,0,64.63,3690,454,4.8,1.2,2.1
1125,25,Male,Public Transport,3,0,3,3.37,0,26.96,5091,469,4.2,1.6,1.5
1126,29,Male,Public Transport,4,1,3,6.14,0,82.45,14960,1176,5.7,3,0.6
1127,51,Male,EV,7,3,3,3.71,1,97.06,1690,257,5.5,5.9,0
1128,50,Female,Public Transport,0,4,0,4.27,1,34.17,2495,479,7.4,3.7,1.3
1129,65,Male,Bike,0,1,1,5.2,0,54.53,12085,784,4.1,5.6,0.3
1130,40,Female,Bicycle,3,2,2,8.49,0,17.75,18276,1280,7.1,5.8,0.3
1131,41,Female,Public Transport,2,4,0,2.11,0,60.32,11720,813,6.4,1.2,0.8
1132,54,Female,Car,9,3,2,7.2,0,55.25,6873,768,7.5,1.9,1.9
1133,52,Male,EV,1,2,0,7.35,0,23,5503,609,8.2,4.6,1.6
1134,61,Female,Bicycle,2,2,0,8.39,0,49.79,12720,776,7.8,5.2,0.2
1135,57,Male,EV,0,3,3,9.46,0,40.07,14964,1028,9.9,3.1,2.9
1136,39,Female,Bicycle,0,4,3,2.16,0,56.96,1897,350,4.8,6,2.7
1137,44,Male,Car,5,0,0,3.23,1,62.71,18094,1062,6.6,0.1,0.8
1138,52,Male,EV,4,3,3,9.09,0,10.76,4695,678,6.5,1.8,0.4
1139,18,Female,Walking,7,3,0,5.67,1,78.49,3686,532,6.5,3.7,2.8
1140,52,Male,Bike,1,3,1,6.52,1,74.17,6778,629,8,2.8,1.4
1141,54,Male,Bike,3,2,3,7.3,0,42.97,16150,930,6.9,0.7,0.9
1142,64,Female,Bicycle,7,1,3,7.43,1,14.76,17799,1388,7.1,2.2,1.5
1143,31,Female,Walking,5,0,3,9.45,0,77.94,10663,712,6.6,0.2,2.3
1144,20,Female,EV,0,4,1,9.98,0,95.97,5180,492,10,3.9,0.5
1145,18,Female,Walking,3,4,0,7.76,0,31.61,5262,575,9.6,5.4,2.3
1146,22,Female,Walking,0,1,2,4.3,1,39.12,3515,662,5.8,5.3,2.2
1147,43,Male,EV,1,3,3,9.04,0,26.54,12236,1058,4.7,4.2,1.6
1148,31,Male,Car,4,0,0,2.39,0,61.92,15104,1020,9,2.8,2.6
1149,56,Male,Walking,7,4,1,3.85,1,23.94,7616,827,10,3.1,0.4
1150,44,Female,Walking,7,4,2,9.18,0,42.06,18376,1354,5.8,0.8,1.8
1151,26,Female,Car,2,3,3,4.05,0,72.73,5370,765,6.1,2,1.3
1152,32,Male,Walking,3,1,1,3.77,1,60.41,19157,1127,9.6,1.1,1.3
1153,32,Male,Walking,9,0,1,3.11,1,44.78,4816,553,8.3,4.9,0.8
1154,43,Female,Walking,5,1,2,8.87,1,47.82,2756,301,5.8,5.5,1.1
1155,59,Male,Bike,9,1,0,6,1,60.59,3373,488,7.5,3.2,0.3
1156,30,Female,Public Transport,2,0,3,7.4,0,10.53,3576,585,9.7,4.4,0.8
1157,68,Female,Car,1,0,3,3.91,1,17.07,5184,644,8.9,0.7,0.8
1158,49,Female,Walking,5,4,0,8.06,0,89.31,3397,453,8.5,3.7,2.2
1159,56,Male,Bike,4,4,0,8.08,0,17.01,13674,989,8.4,4.2,0.1
1160,66,Female,Car,9,0,0,4.5,0,73.61,11326,764,5.1,2.7,2
1161,69,Female,Bicycle,4,2,2,5.29,0,92.8,11546,918,8.9,1.5,0.7
1162,49,Female,Bicycle,9,4,2,3.68,1,34.36,5535,533,5.7,5.3,0.2
1163,21,Female,Walking,4,2,3,9.81,1,43.34,15599,976,9.6,4.5,0.9
1164,47,Female,Bike,9,0,2,7.16,0,61.2,10168,649,6.2,5.4,0.7
1165,54,Female,Bike,4,4,1,9.48,0,89.35,18118,1143,9.1,4.9,1.7
1166,40,Male,Car,2,1,3,4.43,0,94.77,1632,463,5.6,5.9,1.1
1167,56,Female,Car,6,0,2,8.26,1,76.56,14280,1040,7.1,1.2,2.9
1168,62,Female,Bike,5,3,0,8.13,1,17.8,15746,958,4.6,0.5,2.9
1169,32,Male,Car,3,2,1,7.53,0,70.22,5268,605,8,2,1.3
1170,60,Female,Bike,1,0,0,9.73,0,46.93,19047,1069,9,0.8,2.4
1171,46,Female,Public Transport,8,0,3,5.15,0,52.36,16321,992,8.3,3.1,0
1172,53,Female,Bike,0,4,0,3.05,0,14.42,11207,704,7.1,3.8,1.6
1173,30,Male,Bicycle,3,4,2,7.37,1,27.2,6591,799,4.3,3.5,2.2
1174,49,Male,Car,0,4,2,7.83,0,81.15,17226,1303,9.6,1.6,0.7
1175,24,Other,Bike,5,3,3,6.6,0,50.86,2054,341,8.2,5.5,0.2
1176,68,Female,Bike,3,4,0,3.65,0,37.15,9572,754,8.5,0.1,0.5
1177,39,Male,Car,4,0,3,6.04,0,44.56,14579,1049,8.8,2.1,1.3
1178,45,Female,Public Transport,4,4,0,4.5,1,86.9,11583,770,8.5,4.3,1.5
1179,19,Female,Public Transport,8,1,1,5.42,0,77.41,9007,571,6.6,4.6,1.1
1180,59,Female,Car,0,4,2,7.16,0,34.51,16903,1116,8.4,2.5,1.3
1181,62,Female,EV,1,3,3,7.96,0,20.58,10784,730,7.8,0.1,1.4
1182,23,Male,Car,5,1,1,3.86,0,32.68,5261,554,9.1,3.7,2.3
1183,45,Male,Car,4,0,1,5.24,0,92.87,3389,345,8.8,0.4,0.3
1184,45,Male,Public Transport,6,0,3,4.15,1,62.34,14939,1126,4.2,0.6,2.3
1185,61,Female,Public Transport,2,2,3,3.59,0,58.01,12219,1073,6.3,3.9,2.1
1186,61,Male,Car,2,1,1,8.27,0,63.68,10399,797,4.2,1.9,2.2
1187,37,Male,Car,9,2,0,9.27,0,42.94,1544,414,4.6,2.1,2.2
1188,47,Male,Car,1,1,1,4.96,0,82.64,3239,395,7.6,2.9,1.4
1189,28,Female,Public Transport,2,1,3,8.01,0,57.1,11559,1041,9.2,5.9,0.6
1190,45,Female,Car,9,3,1,9.18,0,20.51,3627,670,4.7,5.8,1.6
1191,42,Male,Car,0,2,0,8.77,1,21.62,7618,759,6.7,2.5,2.9
1192,56,Male,Walking,4,3,2,3.46,1,58.32,13123,774,9.5,1.6,1.8
1193,50,Female,EV,4,1,2,9.65,0,94.29,7780,571,8.9,1.8,0
1194,18,Male,Bicycle,6,0,1,5.01,0,37.75,9015,777,7.1,1.6,0.2
1195,44,Male,EV,3,1,0,4.71,0,88.26,4130,676,8.6,3.2,3
1196,69,Male,Walking,2,3,2,2.5,0,78.77,17480,1238,7.1,3.6,0.2
1197,30,Male,Bicycle,0,2,1,5.89,1,32.3,15831,1002,4.9,2.9,0.1
1198,58,Male,Car,7,2,1,2.87,0,13.27,3708,535,4.7,2.4,1.1
1199,20,Female,Walking,2,3,0,3.99,0,19.17,6397,582,5.1,1.3,2.9
1200,56,Male,Car,1,2,3,4.54,1,75.56,12528,1083,6.1,2.9,1
1201,23,Female,Public Transport,3,4,1,8.47,1,27.97,17840,1159,9.6,2,1.2
1202,25,Male,Bike,2,0,3,9,0,43.41,6914,665,8.8,3.2,1.9
1203,44,Female,Walking,0,0,3,4.42,0,55.15,5368,671,6.6,4.1,0.1
1204,26,Female,Public Transport,2,0,2,8.87,0,75.29,12179,898,7,3.8,2.7
1205,54,Male,Walking,1,2,3,8.86,0,20.19,13076,1077,5.6,2.8,1.6
1206,50,Female,Walking,7,2,0,8.12,1,46.57,19321,1235,8.2,3.3,1.4
1207,68,Male,Public Transport,5,1,2,3.17,1,53.66,14948,1221,8.8,1.7,2.6
1208,59,Other,Bicycle,8,1,2,7.52,1,58.67,18530,1070,5.4,0.1,2.9
1209,61,Male,EV,7,0,2,9.56,0,83.65,14824,1221,4.3,3.8,1.3
1210,41,Male,Car,9,4,1,7.46,1,25.45,5299,377,7.7,1.5,0.5
1211,32,Male,Walking,2,1,1,4.65,0,82.7,15120,1086,7.4,4,2.4
1212,49,Other,Car,4,1,3,6,0,72.36,9118,711,6.4,4.5,1.2
1213,49,Female,Bike,6,2,2,7.17,0,60.03,11756,820,7.9,5.5,2.8
1214,41,Female,Public Transport,4,4,2,6.08,0,72.96,8953,937,7.3,5.7,2.8
1215,58,Male,Car,7,0,0,2.96,1,47.08,5784,425,5.5,0.1,0.3
1216,69,Female,Public Transport,4,1,3,4.5,0,22.46,16185,961,6.4,5.9,2.9
1217,66,Male,Car,0,4,0,8.42,0,69.92,10024,618,6.6,4.1,1.1
1218,66,Female,EV,4,4,3,8.89,0,57.22,15674,920,9.3,3.9,1.9
1219,69,Male,EV,3,0,3,3.1,0,67.54,18845,1228,9.8,0.1,0.1
1220,29,Male,EV,5,4,1,9.62,0,40.42,12708,1119,9.4,5.2,2.7
1221,56,Male,EV,2,4,1,4.63,0,91.62,2159,402,8.3,0.9,1.9
1222,19,Male,EV,4,4,0,7.3,1,62.86,1386,411,7.5,5,1.9
1223,20,Female,EV,1,1,3,8.01,0,17.69,8192,808,8.1,0.1,2.7
1224,66,Male,Public Transport,5,0,2,8.5,0,50.48,11745,989,9.6,3.9,1.5
1225,54,Female,Walking,5,4,1,9.57,0,78.07,10910,679,5.5,2.6,1.2
1226,66,Male,Car,4,4,2,4.5,1,81.47,4409,534,7.2,1.2,2.6
1227,34,Female,EV,5,1,0,8.87,0,54.51,18073,1221,8.1,0.6,2.2
1228,66,Male,Public Transport,6,0,1,3.05,0,90.53,14180,1124,8.1,2.6,2.8
1229,19,Male,Public Transport,4,2,1,7.64,0,34.09,18336,1105,5.5,0.7,2.8
1230,19,Female,Public Transport,0,1,3,7.94,0,46.95,7142,764,7.5,2.9,1.1
1231,45,Male,Walking,7,0,0,7.42,0,90.87,6967,699,8.8,3.8,1.3
1232,40,Male,Car,3,4,3,4.02,1,90.66,8205,517,6.9,5,0.8
1233,54,Female,Walking,8,0,1,8.98,0,71.71,17006,1205,8.8,4.1,2
1234,49,Female,Bicycle,9,0,0,3.35,0,87.31,13109,1117,6.2,0.4,1.1
1235,50,Male,Public Transport,5,0,1,2.43,1,17.99,14034,1008,9.6,1.8,2.4
1236,18,Male,Bicycle,0,2,0,7.74,0,87.85,3484,404,7.2,1.7,0.4
1237,36,Female,Bike,2,0,1,5.8,0,38.86,2854,465,7.6,5.5,0.3
1238,19,Male,EV,2,2,2,8.79,0,26.05,12631,927,4.2,5.2,0.6
1239,61,Male,EV,9,4,2,5.07,0,31.54,3597,420,5,2.2,0.3
1240,43,Male,Walking,3,2,3,3.35,0,47.62,8829,792,7.8,0.4,1.9
1241,49,Female,Car,5,4,2,8.69,0,32.61,9186,654,6.5,5.4,0.4
1242,23,Female,Bicycle,6,4,1,6.39,1,38.85,4983,374,7,5.3,0.5
1243,49,Male,Car,9,2,1,3.51,1,22.15,7684,594,4.4,5.1,0
1244,21,Male,Walking,3,1,2,7.76,0,36.66,11383,791,9,5.1,2.3
1245,28,Male,EV,5,3,3,6.09,0,61.51,18040,1187,8.7,2.9,2.4
1246,34,Female,Car,0,0,2,6.83,0,49.77,13004,917,5.1,1.1,0.5
1247,55,Male,Car,7,3,0,5.69,1,41.2,13103,805,7.8,2.9,2.2
1248,41,Male,EV,6,0,0,8.63,0,77.18,7312,843,8.9,3,1.3
1249,22,Female,Bicycle,8,0,0,8.64,0,90.42,8938,550,7.8,2.9,0.7
1250,69,Male,EV,2,4,2,7.68,1,78.11,10954,723,5.9,3.2,1.9
1251,51,Female,Car,1,0,2,2.84,1,39.88,10777,797,7.9,1.5,0.5
1252,23,Male,Bicycle,0,0,2,8.71,1,77,4563,535,5.3,2.2,2.3
1253,39,Male,Bicycle,2,2,0,7.37,0,23.68,6041,658,5.9,2.6,0.1
1254,28,Male,EV,4,3,3,7.58,1,21.73,12292,918,5.4,0.8,2.9
1255,65,Female,Car,1,2,1,4.9,1,41.11,9026,805,7.3,2.7,0.2
1256,33,Female,Walking,2,0,2,9.03,0,82.69,14923,856,4.6,4.9,1.7
1257,50,Female,Car,3,4,3,7.8,0,32.17,18424,1028,9.6,5,2.7
1258,26,Male,Public Transport,6,2,1,2.9,0,15.69,19657,1113,6,2.5,0
1259,23,Female,Bike,2,2,1,5.26,1,21.85,4629,358,5.3,3.1,1.5
1260,33,Male,Walking,8,1,1,9.09,0,87.29,3114,460,7,0.2,1.1
1261,46,Male,Bicycle,7,0,3,2.38,0,67.04,2677,619,5.7,4,1.7
1262,20,Female,Walking,3,4,3,9.69,0,32.79,4094,531,7.2,2.4,0.7
1263,37,Male,Bicycle,0,2,0,7.43,1,59.98,3284,391,6.1,2.7,0.2
1264,53,Male,Bicycle,0,2,3,7.05,0,57.48,6052,656,4.8,5.2,1.9
1265,36,Male,Walking,0,4,3,4.16,0,68.99,18973,1259,5.6,2.8,1.3
1266,43,Male,Bicycle,0,0,3,3.99,0,30.99,19904,1333,6.6,0.1,1.9
1267,20,Male,Bicycle,7,1,1,9.54,1,87.8,13047,958,4.2,1.4,0.6
1268,36,Female,Public Transport,2,2,2,4.39,0,37.84,1694,501,8.6,2.9,1
1269,37,Male,Car,5,1,0,8.2,0,72.47,16588,1211,7.7,2.5,1.7
1270,49,Female,Car,2,3,2,5.14,1,11.45,14055,1046,7.6,5.2,1.8
1271,24,Female,Bike,4,0,2,3.11,0,43.54,17080,998,7.3,3.3,1.1
1272,69,Male,Bike,6,3,3,2.09,1,41.65,7704,589,7.5,4.1,0.8
1273,58,Male,Public Transport,1,3,0,6.35,0,58.91,8368,865,9.6,2.8,0.8
1274,50,Male,Bike,5,3,2,9.81,0,16.55,2971,528,4.1,2.6,0.5
1275,17,Female,Walking,5,0,2,4.95,0,81.11,15593,1112,4.3,2.7,1
1276,56,Male,EV,2,0,0,4.86,0,29.6,9055,740,5.1,2.5,0.6
1277,35,Female,EV,5,4,3,4.75,0,70.93,12441,765,5,3.2,1.9
1278,57,Male,EV,9,1,2,6.16,0,82.29,15677,1107,5.1,1.5,1.7
1279,18,Female,Public Transport,9,1,1,5.53,1,60.57,2868,384,8,5.3,1.1
1280,28,Male,Public Transport,4,4,2,9.04,0,76.68,19055,1187,6.8,2,1
1281,45,Male,Bicycle,1,4,1,6.04,0,69.57,2728,411,10,0.9,0.7
1282,42,Female,EV,8,3,3,6.06,0,42,8632,672,35.4,0.6,1.6
1283,67,Female,Walking,7,4,2,3.11,1,82.8,13043,831,5.9,0.1,2.8
1284,40,Male,Bike,2,2,0,9.86,0,36.52,7403,551,9.9,2.5,2.1
1285,48,Female,Walking,7,1,0,4,0,61.41,16732,1070,9,1.1,2.2
1286,47,Female,Bike,8,4,2,2.59,0,77.09,19526,1282,6.8,0.1,2.5
1287,59,Female,EV,2,2,3,7.31,0,44.11,10340,960,7.3,3.1,1.1
1288,52,Female,EV,2,2,3,6.76,0,37.25,7184,635,9.1,4.1,0.2
1289,24,Male,EV,1,2,0,5.32,1,51.34,1253,544,6.9,0.5,1.9
1290,33,Male,Public Transport,7,2,2,5.38,0,83.62,5102,597,5.2,2.8,0.6
1291,43,Male,Bike,9,3,3,8.28,1,93.69,4542,381,9,4.5,1.7
1292,65,Female,Public Transport,0,2,0,3.57,0,59.06,7212,600,7.2,5.9,2.2
1293,69,Female,Public Transport,7,3,1,8.56,0,69.53,5637,436,4.9,4,2.4
1294,66,Male,Car,6,3,2,7.19,1,91.29,12525,740,7,1.5,0.9
1295,19,Male,Walking,6,2,1,5.35,0,18.87,12471,907,6.5,4.3,1.5
1296,18,Female,Walking,2,1,1,5.66,1,30.89,13500,1088,9.3,3.6,1.9
1297,65,Other,Bicycle,0,2,3,4.05,0,73.8,16247,999,4.8,1.3,2.5
1298,29,Female,Public Transport,3,2,3,8.02,1,84.14,11532,772,9.3,5.1,2.3
1299,22,Male,Bike,8,2,3,6.1,0,87.13,14518,968,7.1,2.6,3
1300,54,Male,Car,4,1,2,4.57,0,47.36,7476,480,6.4,5.8,0
1301,49,Male,Car,0,0,1,6.77,0,18.04,2004,414,5,4.3,1.3
1302,26,Female,Walking,4,0,2,9.97,0,49.4,11286,836,8.2,3.9,0.8
1303,58,Male,Public Transport,7,3,3,5.48,0,30.77,5717,607,9.6,4.4,0.4
1304,52,Female,Bicycle,7,3,1,9.37,0,36.21,4271,352,6.3,2.9,2.7
1305,36,Male,Public Transport,4,1,2,4.76,0,79.5,13714,966,5.4,3,3
